rating,date,option,content
5,2025.05.18,[옵션] 센슈얼 화이트 향,"향기도 너무너무 좋고 향수 용기도 좋아서 꾸준히 잘쓰고있어용
다른 향 써보고 좋아서 다른 향도 구매해서
디양하게 뿌리고 다녀용
날씨나 코디에 맞게 바꿔가면서 사용하고 있는데
전부 향이 좋아서 뿌리기도 좋구
은은하게 오래 지속되는 향기가 좋아서
데일리로 뿌리기 전부 좋아용
엄청 독한 향은 부담스러운데 어노브는 진짜
모든 향기가 독하지 않으면서도 은은하게 좋은 향이나서
부담없이 뿌리기 좋은거같아용
파우더 향이랑 플로어 향이 은은하게 나는 향이라
부담없고 호불호 없이 뿌리기도 좋은 향이구
은은하게 남는 잔향도 좋으면서
잔향도 오래동안 은은하고 좋게 남아서
아침에 뿌리구 나면 저녁까지 은은하게
남아있어서 좋아용"
5,2025.05.18,[옵션] 퓨어 오차드 향,"어노브브랜드의 샴푸를 예전에 써보고 향이 너무 좋아서 향 좋은 향브랜드라고 기억하고있는데요!
그런데 향수 출시라니!! 너무 써보고싶더라구요.
향이 다양해서 너무 고민스러웠는데 퓨어오차드향이 좀 인기가 많고 후기가 많은거같아 구매했어요!
퓨어오차드향은 배향이 들어가있는 향이라 써있는데
시원하면서도 좀 달달한 향이랄까요?
중성적인 느낌이 많이 나는 향인거같아요!
남녀상관없이 잘 쓰실수있을꺼같고 너무 무겁지않는 향이라거 개인적으로 나쁘지않았어요!
분사력도 좋았고 향 유지가 꽤 오래가더라구요!
팔목에 두번뿌리고 옷가운데 한번 뿌려주는 편인데 향이 계석나더라구요!
다자인도 가죽으로 되어있어서 너무 이쁜데 제가 느끼기아쉽다고느낀건 가죽부분이 벗겨지는게아니라서
안에 얼마남았는지 확인할수있었으면 좋았을꺼같아요!"
5,2025.05.18,[옵션] 로지 아우라 향,"디자인도 예쁘고 향기도 좋아요
어노브 헤어제품도 사용할때마다 향이 좋아서 향기 맛집인건 알았는데 이렇게 퍼퓸도 나와주니깐 너무 좋아요
향 스타일에 맞게 핑크색 네이비색으로 디자인된 점도 너무 좋구요 로지아우라랑 퓨어오차드랑 고민했는데
로지아우라가 더 인기가 많아보여서 로지아우라로 픽했어요
실제로 뿌려보니 첫향은 많아 맡아본거 향이였는데
시간 지날수록 잔향이 더 좋더라구요 역시
인기많은 이유가 있었다🤙🏻🌷👍🏻🌹"
5,2025.05.18,[옵션] 센슈얼 화이트 향,"우선 포장이 너무 예뻐서 정성껏 선물포장한 것을 받은 듯해서 기분이 너무 좋았어요.
그리고 개봉하자마자 향수패키지도 예뻐서 두 번 기분이 좋았어요.
향은 백화점에 들어가면 나는 1층 향수코너향이 솔솔 올라오는데 지*츄 향수랑 비슷하게 향이 나네요.
달달하면서도 맑은 꽃향이 올라오는데 거기에 포근한 파우더리함이 동시에 올라와서 너무 가볍지만은 않지만 포근하면서 달달한 맑은 꽃향도 동시에 나는 편이라서 너무 좋았어요.
아침에 뿌리면 5시간 정도 유지되는 것 같네요.
처음에 한 번 분사만으로 향이 강한가싶었는데 금방 퍼지면서 독한 느낌이 아니라 은은하니 자연스럽게 좋은 살냄새로 변해서 더더욱 좋구요. 계속 맡아도 은은하게 기분좋은 향이 남아서 기분이 너무 좋아요.
기존에 제가 쓰는 향이 꽃향이 많은데 레이어드해도 좋고 단독으로 써도 좋네요!"
5,2025.05.17,,"로지 아우라를 기대했었는데 랜덤으로 센슈얼 화이트를 체험하게 됐어요. 파우더향은 좋아하지만 머스크향과 플로럴향은 제 취향이 아니라서 이 세 가지 향이 섞여있는 센슈얼 화이트는 솔직히 제 취저는 아니거든요.
그래도 오드퍼품이라 지속력이 길고 다소 강한 첫향보다 은은한 잔향이 더 매력적으로 느껴져요. 비가 오거나 흐린 날에 기분전환용으로 뿌리고 있어요.
일반적인 향수와는 차별화되는 독특한 모양이라서 처음 사용할 때 살짝 불편했는데 익숙해지니까 안정감이 있어서 분사할 때 힘조절이 더 잘 돼요"
5,2025.05.14,[옵션] 퓨어 오차드 향,"원래 향수는 가서 맡아보고 사는 편인데, 리뷰중에서 밤쉘과 유사하다는 말이 있어서 그냥 구매해봤어요..
결론만 말씀드리면 밤쉘 향수를 5병째 사용하고 있는 제가 느끼기엔 단 1도 밤쉘과 비슷한 구석이 없는 향수예요.. ㅠㅠ
여성스러운 향에 가깝고 중성적인 느낌의 향수를 좋아하는 저에게는 잘못된 선택이었네요.. 약간의 고급진 백화점 여자 향수 향이 느껴져요..(저는 불호, 아마 대부분 좋아하실거같아요) 향 자체가 저렴한 느낌은 아니고 고급치긴해요 제 취향이 아닐뿐, 분명 좋아하시는 분들은 많을 것 같네요!! 지속력도 되게 오래가고 패키지도 고급지고 오브제로 둬도 괜찮을만큼 너무 이뻐요.. ! 저는 딴 향수랑 같이 레이어드해서 한번 사용해보려구요 ㅎㅎ 딴 향도 궁금하긴해서 올영에 시향하러 가려고 합니다..!!"
5,2025.05.11,,"어노브에서 트리트먼트 잘 사용하고 있는데 향수도 나와서 궁금해서 이번 체험단에서 선택해보게 되었습니다.
생각보다 용량이 적긴한데 그래도 디자인은 이쁘고 무엇보다 우디향 괜찮더라구요~ 위에서 한번씩 뿌리고 출근해요~ 좋습니다ㅎ"
5,2025.06.11,[옵션] 퓨어 오차드 향,향이 진짜 좋아요 로즈향 아닌 퓨어오차드 선택이 신의한수 근데 지속력이 너무 짧음
5,2025.05.19,,가지고 싶던 향으로 받아서 기분이 좋아요. 평소에도 플로럴 프루티 계열을 주로 사용하는 데 제가 딱 좋아하는 향이에요 패키지도 예뻐서 선물하기에도 좋을 것 같아요
5,2025.05.18,[옵션] 로지 아우라 향,"✅ 장점
- 플로럴 계열이지만 무겁지 않고 은은한 로즈 향이라 데일리 향수로 부담 없이 좋아요. 저처럼 로즈향 불호였던 사람도 괜찮다 싶을 정도로 복합적인 향이에요.
- 뿌리자마자 살짝 상큼한 첫 향이 퍼지는데, 시간이 지날수록 부드럽고 따뜻한 잔향으로 변해서 기분이 차분해져요.
- 디자인이 깔끔하고 고급스러워요. 핑크 러버들 왜 안사..? 화장대에 그냥 올려두기만 해도 예뻐요.

❌ 단점
- 반대로, 로즈 특유의 진하고 클래식한 향을 기대하셨던 분이라면 조금 심심하다고 느끼실 수도 있어요. 전 그게 오히려 더 좋았지만요.

⭐ 총평
향기 자체는 무겁지 않으면서도 은근하게 포인트가 있어서 데일리로 쓰기 딱이에요. 사계절 내내 잘 어울리고, 나만 아는 은은한 향수 찾는 분들에게 추천하고 싶어요. 단독으로 써도 좋고 다른 향이랑 레이어링해도 무난하게 잘 어울릴 것 같아요. 생각보다 자주 손이 가는 향수라 애정템이 될 것 같습니다! 😊"
